Input,Real_Phonemes,Reference,Prediction,WER,PER
DH AH | S M AA L | AH P | D AH N | AH | HH OW L | IH N | DH AH | S SH EH K |,DH AH | S M AO L | P AH P | N AO D | AH | HH OW L | IH N | DH AH | S AA K |,The small pup gnawed a hole in the sock.,The small one done a hole in the sheet.,0.3333333333,0.21875
IH T S | N AA T | HH AA R D | T UW | F AY N D | AH | JH AA B | DH AE T S | B AA R T | T AY M |,IH T S | N AA T | HH AA R D | T UW | F AY N D | AH | JH AA B | DH AE T S | P AA R T | T AY M |,It's not hard to find a job that's part time.,It's not hard to find a job that's part time.,0,0.0243902439
HH AW | M EH N IY | M IH N AH T S | N IY IH D | IH T | T EY K | T UW | K UH K | DH IH S | F UW D |,HH AW | M EH N IY | M IH N AH T S | D IH D | IH T | T EY K | T UW | K UH K | DH IH S | F UW D |,How many minutes did it take to cook this food?,How many minutes will it take to cook this food?,0.1,0.0487804878
AY | AO L W AA Z | W AO N T AH D | T UW | G OW | T UW | S K UW L | M AO R | S ER S IH NG |,AY | AO L W EY Z | W AO N T IH D | T UW | G OW | T UW | S K UW L | F AO R | N ER S IH NG |,I always wanted to go to school for nursing.,I always wanted to go to school more often.,0.2222222222,0.1025641026
AY | K AY N D | AE N | W EY CH | DH AE N | DH AH EY | HH AE D | AH | IH T AH L | L AY K | F AO R | DH AH | D AY S |,AY | K AY N D | AH V | W IH SH | DH AE T | DH EY | HH AE D | AH | L IH T AH L | L IY G | F AO R | DH AH | B OY Z |,I kind of wish that they had a little league for the boys.,I kind of watch than the way they had a little like for the guys.,0.4615384615,0.25
DH EY | M EY K | L EH S | M AH N IY | IH N | DH IH S | S IY ZH AH N | W IH DH | S N OW |,DH EY | M EY K | L EH S | M AH N IY | IH N | DH IH S | S IY Z AH N | W IH DH | S N OW |,They make less money in this season with snow.,They make less money in this season with snow.,0,0.02702702703
R IY S AY K AH L IH NG | L AO NG | D IH P EH N D Z | AA N | Y AO R | S IH T IY |,R IY S AY K AH L IH NG | L AO | D IH P EH N D Z | AA N | Y AO R | S IH T IY |,Recycling law depends on your city.,Recycling depends on your city.,0.1666666667,0.0303030303
M AY | L IH T AH L | K ER L | L AY K S | L UW | M AO R | DH AE N | P IH K |,M AY | L IH T AH L | G ER L | L AY K S | B L UW | M AO R | DH AE N | P IH NG K |,My little girl likes blue more than pink.,My little girl likes blue more than pink.,0,0.08571428571
AY HH AE V | B IH N | W ER K IH NG | AA N | DH IH S | DH IH S | OW N L IY | M AH N IY |,AY | HH AE V | B IH N | W ER K IH NG | AA N | DH IH S | S IH N S | ER L IY | M AO R N IH NG |,I have been working on this since early morning.,I have been working on this this only money.,0.3333333333,0.2307692308
S OW | DH AE T S | T AE T | OW V AA OW B AA T D | IH K S EH K T IH D |,S OW | DH AE T S | G AA T | EH V R IY B AA D IY | IH K S AY T AH D |,So that's got everybody excited.,"So that's that, it's all over, it's executed.",1.2,0.3448275862
DH EY | AA R | V EH R IY | M IY N | AY | D OW N T | L AY K | IH T |,DH EY | AA R | V EH R IY | M IY N | AY | D OW N T | L AY K | IH T |,"They are very mean, I don't like it.","They are very mean, I don't like it.",0,0
IH F | Y UW | AA R | G IH V EH S T | DH AE T | IH T | IH Z | DH AH | R AY T | CH OY S |,IH F | Y UW | AA R | K AH N V IH N S T | DH AE T | IH T | IH Z | DH AH | R AY T | CH OY S |,If you are convinced that it is the right choice.,If you are convinced that it is the right choice.,0,0.1282051282
DH AH | P AE Z | SH UW | W IY S Z | AA R | AH | K IY S | IH N | P OY N T |,DH AH | P AE S T | F Y UW | W IY K S | AA R | AH | K EY S | IH N | P OY N T |,The past few weeks are a case in point.,The past few weeks are a case in point.,0,0.2058823529
S T AO R IY | N OY Z | K AW N D Z | IH T | IH T | F R EH N D Z |,S T AO R IY | N OY Z | S AW N D Z | EY T | F R EH N D Z |,story noise sounds eight friends.,"Story noise counts it, it's friends.",0.6,0.1923076923
P IY P AH L | AA R | HH AE V IH NG | DH EH R | S IH V AH L | R AY T S | T EY K AH N | AH W EY |,P IY P AH L | AA R | HH AE V IH NG | DH EH R | S IH V AH L | R AY T S | T EY K AH N | AH W EY |,People are having their civil rights taken away.,People are having their civil rights taken away.,0,0
DH AH | JH AH S T | D IH M AH S R EY SH AH N | AH V | AH | D AH CH | W IY N | D IH S P L EY K IY |,DH AH | F ER S T | D EH M AH N S T R EY SH AH N | AH V | AH | T AH CH | S K R IY N | D IH S P L EY |,The first demonstration of a touch screen display.,The just demonstration of a Dutch woman displaying.,0.5,0.2558139535
W IY | SH UH D | T ER N | ER AW N D | AH N D | B IH K | HH ER | AH P | F R AH M | S K UW L |,W IY | SH UH D | T ER N | ER AW N D | AH N D | P IH K | HH ER | AH P | F R AH M | S K UW L |,We should turn around and pick her up from school.,We should turn around and pick her up from school.,0,0.025
W IY | HH AE V | AH | T EY K | T UW | S OW | DH AE T | HH AE Z S T UW | IH T |,W IY | HH AE V | AH | D AO G | T UW | S OW | DH AE T | AE D Z | T UW | IH T |,We have a dog too so that adds to it.,We have a take to so that has to it.,0.3,0.1818181818
IH N | F AE K T | DH AH | F ER S T | Y IH R | W IY | W ER | M EH R IY D |,IH N | F AE K T | DH AH | F ER S T | Y IH R | W IY | W ER | M EH R IY D |,In fact the first year we were married.,"In fact, the first year we were married.",0,0
D UW | Y UW | S T IH L | D R AY V | DH AE T | OW L D | K AA R |,D UW | Y UW | S T IH L | D R AY V | DH AE T | OW L D | K AA R |,Do you still drive that old car?,Do you still drive that old car?,0,0
W IY | HH EH N D AH D | AH P | M AA CH IH NG | IH T | F AO R | AH | K AH P AH L | AH V | AW ER Z |,W IY | EH N D AH D | AH P | W AA CH IH NG | IH T | F AO R | AH | K AH P AH L | AH V | AW ER Z |,We ended up watching it for a couple of hours.,We ended up matching it for a couple of hours.,0.1,0.05
HH UW | TH AO T | AH V | DH IH S | W AH N D ER F AH L | AY D IY AH |,HH UW | TH AO T | AH V | DH IH S | W AH N D ER F AH L | AY D IY AH |,Who thought of this wonderful idea?,Who thought of this wonderful idea?,0,0
AH | L IH T AH L | B R IY P | AO T OW | M IH K AH F IY | AH V | DH IH M S EH L M Z |,AH | L IH T AH L | B R IY F | AO T AH B AY AA G R AH F IY | AH V | DH EH M S EH L V Z |,A little brief autobiography of themselves.,A little bit of all of them.,0.6666666667,0.2432432432
HH IY R | AA R | S AH M | K IY | P OY N T S | F R AH M | DH AH | P R IY F IH NG |,HH IY R | AA R | S AH M | K IY | P OY N T S | F R AH M | DH AH | B R IY F IH NG |,Here are some key points from the briefing.,Here are some key points from the presentation.,0.125,0.02857142857
AH | D AO G | IH Z | F IH K CH Y ER N D | B IH L OW | DH AH | T EH S T |,AH | D AO G | IH Z | F IY CH ER D | B IH L OW | DH AH | T EH K S T |,A dog is featured below the text.,A dog is fixed before the test.,0.4285714286,0.1724137931
AE Z | Y UW | G EH T | OW L D ER | Y UW | W IH L | AH N D ER S T AE D |,AE Z | Y UW | G EH T | OW L D ER | Y UW | W IH L | AH N D ER S T AE N D |,As you get older you will understand.,As you get older you will understand.,0,0.03125
AY | K UH D AH N T | IY V IH N | TH IH NG K | AH V | W AH T | Y UW | K AO L | DH EH M |,AY | K UH D AH N T | IY V IH N | TH IH NG K | AH V | W AH T | Y UW | K AO L | DH EH M |,I couldn't even think of what you call them.,I couldn't even think of what you call them.,0,0
W AH T | D UW | Y UW | L AY K | T UW | D UW | DH IH S | T AY M | AH V | Y IH R |,W AH T | D UW | Y UW | L AY K | T UW | D UW | DH IH S | T AY M | AH V | Y IH R |,What do you like to do this time of year.,What do you like to do this time of year?,0,0
W IY | N AA T | T AH G EH DH ER | EH V ER IY | S AH M ER | F AO R | V IH EY SH AH N |,W IY | G AA T | T AH G EH DH ER | EH V ER IY | S AH M ER | F AO R | V EY K EY SH AH N |,We got together every summer for vacation.,We're not together every summer for vacation.,0.2857142857,0.08333333333
G AH V AH N ER | DH AH | P IY P AH L | AH V | D IH S T R OY T | D OW N T | F K EH N T |,G AH V ER N ER | DH AH | P IY P AH L | AH V | D IH T R OY T | D OW N T | F ER G EH T |,"Governor, the people of Detroit don't forget.",Govern the people of Detroit don't often.,0.2857142857,0.1351351351
N OW | S D EH Z | HH AE V | B IH N | R IY P AO R IH D | IH N | DH AH | S IH T IY |,N OW | D EH TH S | HH AE V | B IH N | R IY P AO R T IH D | IH N | DH AH | S IH T IY |,No deaths have been reported in the city.,No deaths have been reported in the city.,0,0.1111111111
IY V N IH NG | IH Z | DH AH | B EH S T | T AY M | F AO R | R EH D IH NG |,IY V N IH NG | IH Z | DH AH | B EH S T | T AY M | F AO R | R EH D IH NG |,Evening is the best time for reading.,Evening is the best time for reading.,0,0
AY | D IH D AH N T | N OW | DH EH R | W AA Z | S AH CH | AH | TH IH NG |,AY | D IH D AH N T | N OW | DH EH R | W AA Z | S AH CH | AH | TH IH NG |,I didn't know there was such a thing.,I didn't know there was such a thing.,0,0
DH AH | N UW Z | AH N D | S T AO R IY Z | DH AE T | M AE T ER | D IH L V AH D | W IH N T IY | M AO R N IH NG Z |,DH AH | N UW Z | AH N D | S T AO R IY Z | DH AE T | M AE T ER | D IH L IH V ER D | W IY K D EY | M AO R N IH NG Z |,"The news and stories that matter, delivered weekday mornings.",The news and stories that matter delivered twenty mornings.,0.1111111111,0.1224489796
AY | D UW | S T AE T IH NG | W AH T S | G OW IH NG | AA N | IH N | DH AH | AE K AA N AH M IY |,AY | D UW | S T AH D IY | W AH T S | G OW IH NG | AA N | IH N | DH AH | IH K AA N AH M IY |,I do study what's going on in the economy.,I do starting what's going on in the economy.,0.1111111111,0.1315789474
HH IH P T | D UH IH NG | SH AE L AH Z | AH IH NG | EH V R IY W AH N |,K EH P T | T UH R IH NG | SH AE L OW Z | HH AE NG | EH V R IY W AH N |,kept touring shallows hang everyone,Hit doing shallows among everyone.,0.6,0.2413793103
W AH T | SH UH D | B IY | D AH N | T UW | AH V OY D | AO L | DH IH S | P R AA B L AH M Z |,W AH T | SH UH D | B IY | D AH N | T UW | AH V OY D | AO L | DH IY Z | P R AA B L AH M Z |,What should be done to avoid all these problems?,What should be done to avoid all this problems?,0.1111111111,0.05128205128
M IH K S | IH Z | S AA B AH L B L IY | AH B AW T | W AH N | EH R | AH F P AH N IY N | IH IY Z |,W IH CH | IH Z | P R AA B AH B L IY | AH B AW T | W AH T | DH EH R | EH K W AH T IY | IH Z |,Which is probably about what their equity is.,Mix is basically about one third of a pound of peas.,1.125,0.358974359
IH T | W AA Z | G IH V IH N | T UW | Y UW | DH AH | M IH N | Y UW | K AE K S T | Y AO R | B AH L AH |,IH T | W AA Z | G IH V AH N | T UW | Y UW | DH AH | M IH N AH T | Y UW | K AE S T | Y AO R | B AE L AH T |,It was given to you the minute you cast your ballot.,It was given to you the minute you cashed your check.,0.1818181818,0.1304347826
W IY R | L IH V IH NG | L AO K G AH | AH N D | P IY P AH L | AA R | L AE S | D R EH S T IH NG |,W IY R | L IH V IH NG | L AO NG G ER | AH N D | P IY P AH L | AA R | L EH S | T R AH S T IH NG |,We're living longer and people are less trusting.,We're living close and people are less dressed up.,0.375,0.1219512195
AY | HH OW P | EH V R IY TH IH NG | W ER K S | AW T | AH P | DH EH R |,AY | HH OW P | EH V R IY TH IH NG | W ER K S | AW T | AH P | DH EH R |,I hope everything works out up there.,I hope everything works out up there.,0,0
DH AH | B AA S T | W AA Z | TH R UW N | B IH S AY N | DH AH | P AA R T | S T R AA R T |,DH AH | B AA K S | W AA Z | TH R OW N | B IH S AY D | DH AH | P AA R K T | T R AH K |,The box was thrown beside the parked truck.,The boss was thrown out by the part start.,0.625,0.2432432432
AH P IY L | AH V | N AH N G ZH ER IY | TH IH NG Z | IH Z | S AH M TH IH NG | HH EH L S |,AH P IY L | AH V | L AH G ZH ER IY | TH IH NG Z | IH Z | S AH M TH IH NG | EH L S |,Appeal of luxury things is something else.,An appeal of luxury things is something else.,0.1428571429,0.08823529412
AY | D OW N T | TH IH NG K | DH AH | T IY CH ER Z | AA R | DH AH | P R AA B L AH M |,AY | D OW N T | TH IH NG K | DH AH | T IY CH ER Z | AA R | DH AH | P R AA B L AH M |,I don't think the teachers are the problem.,I don't think the teachers are the problem.,0,0
G OW | OW V ER | DH EH R |,G OW | OW V ER | DH EH R |,Go over there.,Go over there.,0,0
IH Z | DH AE T | P AH L UW SH AH N |,IH Z | DH AE T | P AH L UW SH AH N |,Is that pollution?,Is that pollution?,0,0
AA R | Y UW | R IY S AY K AH L IH NG |,AA R | Y UW | R IY S AY K AH L IH NG |,Are you recycling?,Are you recycling?,0,0
DH EH R | G R OW N | N AW |,DH EH R | G R OW N | N AW |,They're grown now.,They're grown now.,0,0
DH EY | R IY JH IH K AH L IY | R IY L EH K T | HH IH M |,DH EY | R IY S AH N T L IY | R IY L IY S T | HH IH M |,They recently released him.,They really reject him.,0.5,0.2608695652
M AY | TH R IY | Y IH R | OW L D |,M AY | TH R IY | Y IH R | OW L D |,My three year old.,My three year old.,0,0
N AA T | D UW | P L AE IH AH G AH F |,N AA T | T UW | L AO NG | AH G OW |,Not too long ago.,Not do plagiarism.,0.75,0.4666666667
IY Z IY AH Z | W EY | AW T | M EY B IY |,IY Z IY AH S T | W EY | AW T | M EY B IY |,Easiest way out maybe.,Easier way out maybe.,0.25,0.1111111111
AY M | OW L D | V AE SH T AH N |,AY M | OW L D | F AE SH AH N D |,I'm old fashioned.,I'm old fashioned.,0,0.2142857143
T EY K | AH | S IY T | AA N | DH AH | M AH N JH |,T EY K | AH | S IY T | AA N | DH AH | B EH N CH |,Take a seat on the bench.,Take a seat on the bench.,0,0.1428571429
AY | K AE N T | R IH L IY | K AH M P Y AH N |,AY | K AE N T | R IH L IY | K AH M P L EY N |,I can't really complain.,I can't really compare.,0.25,0.1
HH IH Z | AE N | AH N D ER AO | K AE T |,HH IY Z | AE N | IH N D AO R | K AE T |,He's an indoor cat.,He's an underwater cat.,0.25,0.2352941176
DH AE T S | W AH T | DH EY | S EH D |,DH AE T S | W AH T | DH EY | S EH D |,That's what they said.,That's what they said.,0,0
AY M | L AY K | T UW | HH IY R | DH AE T |,AY M | G L AE D | T UW | HH IY R | DH AE T |,I'm glad to hear that.,I'm like to hear that.,0.2,0.1578947368
IH T | T IH K AH N | M AE T ER |,IH T | D IH D AH N T | M AE T ER |,It didn't matter.,It doesn't matter.,0.3333333333,0.2
EH M P L EY M AH N T | EH K AH M |,EH M P L OY M AH N T | IH N K AH M |,Employment income.,Employment sector.,0.5,0.1875
D UW | Y UW | G EH T | K EY B AH L |,D UW | Y UW | G EH T | K EY B AH L |,Do you get cable?,Do you get cable?,0,0
IH S P N SH N L IY | IH N | DH AH | R EH K T ER |,AH S P EH SH L IY | IH N | DH AH | W IH N T ER |,Especially in the winter.,Especially in the rectum.,0.25,0.3
W AH T | IH Z | IH T | K AO L D |,W AH T | IH Z | IH T | K AO L D |,What is it called?,What is it called?,0,0
IH T | K UH D | B IY | R IH K AH L D |,IH T | K UH D | B IY | R IY S AY K AH L D |,It could be recycled.,It could be recalled.,0.25,0.1578947368
HH IY Z | N AE N | M OW S | OW L D |,HH IY Z | N AY N | M AH N TH S | OW L D |,He's nine months old.,He's an old soul.,0.75,0.2222222222
N EH V ER | M IH K S | AH | M OW M AH T |,N EH V ER | M IH S | AH | M OW M AH N T |,Never miss a moment!,Never mix a moment.,0.25,0.1111111111
W AH T EH V ER | Y UW | L AY K |,W AH T EH V ER | Y UW | L AY K |,Whatever you like.,Whatever you like.,0,0
JH OY N | DH AH | G AE NG |,JH OY N | DH AH | G AE NG |,Join the gang.,Join the gang.,0,0
IH T S | S AH M TH IH NG | DH AE T | IH T S R AH D | M IY |,IH T S | S AH M TH IH NG | DH AE T | IH N T R AH S T S | M IY |,It's something that interests me.,It's something that it's read me.,0.4,0.1851851852
DH AH | S N ER S IH NG | HH OW M |,DH AH | N ER S IH NG | HH OW M |,The nursing home.,The nursing home.,0,0.07692307692
IH T S | AY | N AY S | P L AE Z |,IH T S | AH | N AY S | P L EY S |,It's a nice place.,It's a nice place.,0,0.2
N AA T | D UW | K AE N T R AH L UW SH AH L |,N AA T | T UW | K AA N T R AH V ER SH AH L |,Not too controversial.,Not do control.,0.6666666667,0.2105263158
S OW | IH T | W AA Z | R IH L IY | T UW | L EY T | T UW | D UW | M AH CH |,S OW | IH T | W AA Z | R IH L IY | T UW | L EY T | T UW | D UW | M AH CH |,So it was really too late to do much.,So it was really too late to do much.,0,0
K AE N | Y UW | B UH T | DH AH | B UH G | D ER L | F AO R | AH | HH Y UW L | B IH N AH T S |,K AE N | Y UW | P UH T | DH AH | B UH K | D AW N | F AO R | AH | F Y UW | M IH N AH T S |,Can you put the book down for a few minutes?,Can you put the bug down for a few minutes?,0.1,0.1794871795
W EH N | AY | D UW | R EH S AH S IH IY Z | AY | JH AH S T | TH R OW | S T AH F | IH N |,W EH N | AY | D UW | R EH S AH P IY Z | AY | JH AH S T | TH R OW | S T AH F | IH N |,When I do recipes I just throw stuff in.,When I do recycling I just throw stuff in.,0.1111111111,0.05555555556
AY | K AE N T | R IH L IY | TH IH NG K | AH V | EH N IY TH IH NG | EH L S | AO F AE D |,AY | K AE N T | R IH L IY | TH IH NG K | AH V | EH N IY TH IH NG | EH L S | AO F HH AE N D |,I can't really think of anything else offhand.,I can't really think of anything else off hand.,0.25,0.05263157895
K L UW | DH AH | SH IY T | T UW | DH AH | JH AA K | B L UW | B AE K R AW N D |,G L UW | DH AH | SH IY T | T UW | DH AH | D AA R K | B L UW | B AE K G R AW N D |,Glue the sheet to the dark blue background.,Close the sheet to the job blue background.,0.25,0.1142857143
W IY | T AO K | AH B AW T | DH IH S | DH AH | OW V ER | D EY |,W IY | T AO K T | AH B AW T | DH IH S | DH AH | AH DH ER | D EY |,We talked about this the other day.,We talk about this the whole day.,0.2857142857,0.1111111111
W IY | SH UH D | S IY | T UW | AW ER | AA N | L AY V Z |,W IY | SH UH D | S IY | T UW | AW ER | OW N | L IH V Z |,We should see to our own lives.,We should see to our own lives.,0,0.08333333333
B EH T ER | DH AE N | Y UH R AH B |,B EH T ER | DH AE N | Y UH R AH P |,Better than Europe.,Better than you are.,0.6666666667,0.06666666667
F AH N IY | P AE S T | D IH S IH ZH AH N Z | D AE L AH S | F Y UW CH ER | B R IH NG |,F AH N IY | P AE S T | D IH S IH ZH AH N Z | D AE L AH S | F Y UW CH ER | B R IH NG |,funny past decisions dallas future bring.,Funny past decisions Dallas future bring.,0,0
DH EH N | AY | HH ER D | AH | V EH R IY | L AE D | IH K S P L UW ZH AH N |,DH EH N | AY | HH ER D | AH | V EH R IY | L AW D | IH K S P L OW ZH AH N |,Then I heard a very loud explosion.,Then I heard a very loud explosion.,0,0.06451612903
N AH TH IH NG | IH Z | M AO R | AH M P AO R T AH D T | T UW | HH IH V | DH AE N | P AW ER |,N AH TH IH NG | IH Z | M AO R | IH M P AO R T AH N T | T UW | HH IH M | DH AE N | P AW ER |,Nothing is more important to him than power.,Nothing is more important to me than power.,0.125,0.07894736842
